Territory,Race,Territory Type,Trees,Gold
Stormwind,Human,City,High,Medium
Durotar,Orc,Region,Medium,Low
Darkspear Tribe,Troll,Tribe,Low,Low
Thunder Bluff,Tauren,City,High,Medium
Teldrassil,Night Elf,World Tree,Very High,Low
Gnomeregan,Gnome,City,Low,Medium
Tirisfal Glades,Undead,Region,Low,Medium
Silvermoon,Blood Elf,City,Medium,High
Kezan,Goblin,Island,Low,Very High
Nazjatar,Naga,Underwater City,Low,High
Various coastal regions,Murloc,Various,Low,Low
Twisting Nether,Demon,Plane,None,None
Lordaeron,Human,Region,Medium,Medium
Orgrimmar,Orc,City,Low,High
Mulgore,Tauren,Plains,High,Low
Ashenvale,Night Elf,Forest,High,Medium
Draenor,Draenei,World,Medium,Medium
Northrend,Undead,Continent,High,High
Quel'Thalas,Blood Elf,Kingdom,Medium,High
Bilgewater Cartel,Goblin,Cartel,Low,High
Dragonshrines,"Dragon, Dragonkin",Shrines,Medium,Low
Kul Tiras,Human,Island,High,Medium
